word,definition,ner,root_word,pos
PROTECT,keep safe from harm or injury,,protect,NN
LEAD,be in charge of,,lead,NN
BLAMELESS,innocent of wrongdoing,I-PER,blameless,NN
UNIFORM,denoting garment forming part of person's uniform,,uniform,NN
VERY,actual,,very,RB
LUGGAGE,suitcases or other bags in which to pack personal belongings for travelling,,luggage,NN
LAMP,device for giving light,,lamp,NN
EASY,achieved without great effort,,easy,JJ
ATM,automated teller machine,,atm,NN
BURGER,"a dish consisting of a flat round cake of minced beef, or another savoury ingredient, that is fried or grilled and served in a split bun or roll with various condiments and toppings",,burger,NN
INVEST,put money into something in hope of making profit,,invest,NN
MASSACHUSETTS,"state in north-eastern US, on Atlantic coast",I-LOC,massachusetts,NN
WIPE,"a disposable cloth treated with a cleansing agent, for wiping things clean",,wipe,NN
AILING,in poor health,I-PER,ailing,VBG
HEAT,high temperature,,heat,NN
SLEEP,condition of body and mind in which consciousness of surroundings is practically suspended,,sleep,NN
CD,a compact disc,,cd,NN
BLAINE SUNDRUD,Blaine Sundrud from AWS,,blaine sundrud,NN
SAFE,uninjured,,safe,JJ
COST,estimate price of,,cost,NN
ATTRACTION,action or power of attracting,,attraction,NN
UNIVERSE,all existing matter and space considered as whole,,universe,NN
GRANDSON,son of one's son or daughter,,grandson,NN
BURBLE,make a continuous murmuring noise,,burble,JJ
CONFUSE,make someone bewildered or perplexed,,confuse,NN
BLOCK,stop movement or flow in,,block,NN
LIST 1/4,First option in a four option list in ASL,,list 1/4,NN
WOW,expressing astonishment or admiration,,wow,NN
WEEKS,multiple periods of seven days,,week,NNS
NAVIGATE,"to plan a route or course, or move towards somethinng",,navigate,NN
SET-UP,way in which something is organized,,set-up,NN
PILOT,person flying aircraft,,pilot,NN
CHILD,young human,,child,NN
BUSINESS-WEEK,the total number of hours or days worked in a week,,business-week,NN
BBQ SEASONING,seasoning used for barbeque.,,bbq seasoning,NN
GAMES,activity done for amusement,,game,NNS
COAT,outdoor garment,,coat,NN
EXPLANATIONS,statement or account that makes something clear,,explanation,NNS
GALLAUDET UNIVERSITY,"Gallaudet University is a private federally chartered university in Washington, D.C., for the education of the deaf and hard of hearing.",I-ORG,gallaudet university,NN
CACOON,a silky case spun by the larvae of many insects for protection as pupae,I-MISC,cacoon,NN
CREATIVITY,use of imagination or original ideas,,creativity,NN
TOUCH FACE,come into or be in contact with face,,touch face,NN
FINE,satisfactorily or well,,fine,NN
BABYSIT,look after child or children while parents are out,,babysit,NN
HALF,either of two parts into which thing is divided,,half,NN
BANNED,officially or legally prohibit (something),,banned,VBN
ADVOCATE,supporter of cause,,advocate,NN
BOX,square or rectangular container,,box,NN
CHECK MARK,"a mark (?) used to indicate that an item in a list or text is correct or has been chosen, checked, or dealt with; a tick",,check mark,NN
OFFICE,place of business,,office,NN
ENGAGED,having formally agreed to marry,,engaged,VBN
INJURY,instance of being injured,,injury,NN
ADOPTION PAPERS,documentation relating to the adoption of a particular child,,adoption papers,NNS
BIRTH CERTIFICATE,official document issued to record person's birth,,birth certificate,NN
ELEPHANT,"very large plant-eating mammal with prehensile trunk, long curved ivory tusks",,elephant,NN
TENNIS,game in which two or four players strike ball with rackets over net stretched across court,,tennis,NN
BOORISH,rough and bad-mannered,I-PER,boorish,NN
DOWNTOWN,downtown area of town or city,,downtown,NN
TIME,indefinite continued progress of existence,,time,NN
AMPUTATE,cut off limb by surgical operation,,amputate,NN
APPEAR,become visible or noticeable,,appear,VB
FRACTION,quantity that is not whole number,,fraction,NN
PAPER,material for writing or wrapping,,paper,NN
INTEGRATE,combine with another to form whole,,integrate,NN
POST,item of content published online,,post,NN
1820,The year 1820,,1820,CD
FEDERAL,having or relating to a system of government in which several states form a unity but remain independent in internal affairs,,federal,JJ
FULL,having no empty space,,full,JJ
MAN,adult human male,,man,NN
BUDGE,make or cause to make the slightest movement,,budge,NN
NOT,used to form negative with auxiliary verbs,,not,RB
FAR,situated at great distance,I-LOC,far,RB
EDUCATION,process of educating or being educated,,education,NN
ADDENDUM,item of additional material added at end of book,,addendum,NN
ALL OF YOU,"“All of you” is synonymous with “you all,” but we mostly use it when we're talking in other dialects besides certain US English ones.",,all of you,NN
BEQUEST,"the money or property belonging to someone that they say that, after their death, they wish to be given to other people such as a will",,bequest,NN
SMOKE,inhale and exhale smoke of tobacco,,smoke,NN
3 HAND,a number that is one more than 2,,3 hand,CD
BIBILE,Christian scriptures,I-PER,bibile,NN
IF,condition or supposition,,if,IN
LEARN,gain knowledge of or skill in something,,learn,NN
ACTIVITY, a thing that you do for interest or pleasure,,activity,NN
HISTORIANS,"an expert in or student of history, especially that of a particular period, geographical region, or social phenomenon",,historian,NNS
HAVE,experience or undergo,,have,VB
SLAVE,a person who is forced to work for and obey another and is considered to be their property; an enslaved person,,slave,NN
AGITATE,make someone troubled or nervous,,agitate,NN
BOOT,item of footwear covering foot and ankle,,boot,NN
CARD,plastic card,,card,NN
CAFE,small restaurant selling light meals and drinks,,cafe,NN
SALESPERSON,salesman or saleswoman,,salesperson,NN
IMPRESS,make someone feel admiration,,impress,NN
EXPENSE,money spent on something,,expense,NN
SHOW,allow or cause to be visible,,show,NN
TOP RIGHT,indicating the top right,,top right,NN
ANONYMITY,condition of being anonymous,,anonymity,NN
CHILDREN,a young human being below the age of puberty or below the legal age of majority.,,child,NNS
BEAST,large animal,,beast,NN
APPREHENSION,anxiety or fear,,apprehension,NN
LOWER,less high in position,,lower,JJR
POPCORN,maize of variety with hard kernels that swell up and burst open when heated,,popcorn,NN
THROUGH,so as to continue towards completion of something,,through,IN
CLOSET,tall cupboard or wardrobe,,closet,NN
BIKE,bicycle or motorcycle,,bike,NN
ZOOM,"communicate with someone over the internet, typically by video chat, using the software application Zoom",,zoom,NN
BRITISH,relating to Great Britain or United Kingdom,I-MISC,british,JJ
AFRICAN AMERICAN,black American,I-MISC,african american,JJ
STRUCTURE,building or other object constructed from several parts,,structure,NN
PROFIT,financial gain,,profit,NN
CREDIT CARD,small plastic card issued by bank,,credit card,NN
TEEN,years of person's age from 13 to 19,,teen,NN
STREET,"public road in city, town, or village",,street,NN
BLOOD SUGAR CRASH,"When the body has more sugar than it's used to, it rapidly produces insulin in an attempt to keep the levels consistent.",,blood sugar crash,NN
RECOMMEND,put forward person or thing with approval as being suitable for particular purpose or role,,recommend,NN
WHERE,in or to what place or position,,where,WRB
SHIRT,"garment for upper body made of cotton or similar fabric, with collar and sleeves",,shirt,NN
KITCHEN,room where food is prepared,,kitchen,NN
SENSITIVE,quick to detect or respond to slight changes or influences,,sensitive,JJ
BULLY,a person who habitually seeks to harm or intimidate those whom they perceive as vulnerable,,bully,RB
DEAD,no longer alive,,dead,JJ
PREVIOUS,existing or occurring before in time or order,,previous,JJ
NEAR,located short distance away,,near,IN
VIDEOS,"system of recording, reproducing, or broadcasting moving visual images",,video,NNS
EMPLOYEE,person employed for wages,,employee,NN
BRONX,a borough in northeastern New York City,I-LOC,bronx,NN
IRELAND,"island of British Isles, lying west of Great Britain",I-LOC,ireland,NN
LOVE,strong feeling of affection,,love,NN
RAIL BAR,usually made of wood or metal and is placed on top of a bar,,rail bar,NN
BLEED,lose blood from body,,bleed,NN
DRIVEWAY,short road leading up to house,,driveway,NN
BOW,act of bowing,,bow,NN
BLOW UP,explode,,blow up,NN
LOVE,like or enjoy very much,,love,NN
VALLEY,low area of land between hills or mountains,,valley,NN
WIND,perceptible natural movement of air,,wind,NN
BURGLARY,"illegal entry of a building with intent to commit a crime, especially theft",,burglary,NN
INSTAGRAM,post photograph on Instagram,I-ORG,instagram,NN
DOWNLOAD,copy data from one computer system to another,,download,NN
REAR,back part of something,,rear,NN
ABRUPT,sudden,,abrupt,NN
BUFFET,a meal consisting of several dishes from which guests serve themselves,,buffet,NN
LIBERTY,"the state of being free within society from oppressive restrictions imposed by authority on one's way of life, behaviour, or political views",,liberty,NN
ALABAMA,"state in south-eastern US, on Gulf of Mexico",I-LOC,alabama,NN
AIRPORT,"complex of runways and buildings for take-off, landing, and maintenance of civil aircraft",,airport,NN
HONEYMOON,holiday spent together by newly married couple,,honeymoon,NN
DOLLAR,"basic monetary unit of US, Canada, Australia, and certain countries in Pacific",,dollar,NN
CHECK,"examine (something) in order to determine its accuracy, quality, or condition, or to detect the presence of something",,check,NN
OPINION,view not based on fact,,opinion,NN
LEGACY,long-lasting impact of particular events or of person's life,,legacy,NN
BETTER,more satisfactory or effective,,better,RBR
WASHINGTON,"state of north-western US, on Pacific coast",I-LOC,washington,NN
TRUE,in accordance with fact or reality,,true,JJ
BOMBARD,attack place with missiles,,bombard,NN
PHOTOGRAPHER,person who takes photographs,,photographer,NN
COMPETITION,activity of striving to gain something by defeating others,,competition,NN
STRONG,having power to move heavy weights or perform other physically demanding tasks,,strong,JJ
LIVING,alive,,living,NN
TOO SMALL,insignificant,,too small,NN
CRAZY,mad,,crazy,NN
TIE,a result in a game or other competitive situation in which two or more competitors or teams have the same score or ranking; a draw,,tie,NN
ANNOYING,causing irritation or annoyance,,annoying,VBG
ALL OF US,the statement or sentiment being expressed applies to everyone in the group or conversation,,all of us,NN
FROM,indicating point where thing starts,,from,IN
SINCE,in intervening period between time mentioned and time under consideration,,since,IN
CHASE,try to catch,I-PER,chase,NN
bitter,not sweet,,bitter,NN
CAUCASIAN,white-skinned,I-MISC,caucasian,NN
COW,domesticated female bovine animal,,cow,NN
ASSIGNMENT,allocated task,,assignment,NN
HOW,used to ask about condition or quality,,how,WRB
SAD,feeling or showing sorrow,,sad,NN
MOVIE,cinema film,,movie,NN
CORD,string or rope,,cord,NN
GENERAL,affecting or concerning most people or things,,general,JJ
APPLE,round fruit of tree of rose family,,apple,NN
AUDIENCE,group of spectators,,audience,NN
LOW,of less than average height,,low,JJ
BREAK BONE,cracking or breaking of bone,,break bone,NN
SLAVERY,the state of being a slave,,slavery,NN
IF,on condition that,,if,IN
INDIA,country in southern Asia,I-LOC,india,NN
ONE,lowest cardinal number,,one,CD
ENTRANCE,opening that gives access,,entrance,NN
DELAWARE,river of north-eastern US. Rising in Catskill Mountains in New York State,I-LOC,delaware,NN
MOTHER IN LAW,mother of one's husband or wife,,mother in law,NN
WORK,be engaged in physical or mental activity,,work,NN
MARTIN LUTHER KING,"the most important leader of the US civil rights movement, born in 1929, died in 1968.",I-PER,martin luther king,VBG
ACTIVE,physically energetic,,active,JJ
HASHTAG,add hashtag to digital content,,hashtag,NN
CENT,"monetary unit in various countries, equal to one hundredth of dollar",,cent,NN
ASK FOR A RAISE,act of asking politely or formally for a raise,,ask for a raise,NN
SLEEP,be in state of sleep,,sleep,NN
SHOOTING,action or practice of shooting,,shooting,VBG
HAND,end part of person's arm including fingers,,hand,NN
ART,application of creative skill and imagination,,art,NN
PAINTING,"action or skill of using paint, either in picture or as decoration",,painting,NN
FLOWER,part of plant consisting of reproductive organs,,flower,NN
AFFLICT,cause pain or trouble to,,afflict,NN
BALANCE BEAM,"a long, narrow, horizontal wooden beam raised on which women gymnasts perform balancing routines consisting of jumps, tumbles, turns, running steps, etc.",,balance beam,NN
BLEND,mix substances together,,blend,NN
MUSIC,sound produced by instruments,,music,NN
APPOINTMENT,arrangement to meet,,appointment,NN
CONSIDER,think carefully about,,consider,VB
PRICE,money paid for something,,price,NN
FINGER,each of four jointed parts attached to hand,,finger,NN
ON TIME,At the arranged or correct time; not late,,on time,NN
MINIMUM,least or smallest amount or quantity possible or required,,minimum,NN
TRIBAL,of or characteristic of a tribe or tribes,,tribal,NN
BIRTHMARK,unusual mark on someone's body which is there from birth,,birthmark,NN
RAT,rodent that resembles large mouse,,rat,NN
PATTERN,example to follow,,pattern,NN
ACCOUNTABILITY,fact or condition of being accountable,,accountability,NN
PREVIOUS,existing or occurring before in time or order,,previous,JJ
THIN PATH,thin way or track for walking,,thin path,NN
SOMETIME,at some unspecified or unknown time,,sometime,RB
BATTERY,container used as source of power,,battery,NN
SUPERIOR,higher in rank or quality,,superior,JJ
BILLFOLD,wallet,I-PER,billfold,NN
SETS,"put, lay, or stand multiple things in a specified place or position",,set,NNS
IMPRESSIVE,evoking admiration through size or skill,,impressive,JJ
CAFFEINATED,"(of coffee or tea) containing natural amount of caffeine, or with caffeine added",,caffeinated,VBN
SMARTWATCH,mobile device designed to be worn on wrist,I-MISC,smartwatch,NN
ONE,lowest cardinal number,,one,CD
BEAUTIFUL,pleasing senses or mind aesthetically,,beautiful,NN
BEST FRIEND,a person's closest friend,,best friend,NN
BLOUSE,woman's upper garment,,blouse,NN
TURBULENCE,violent or unsteady movement of air or water,,turbulence,NN
SURPRISE,"unexpected or astonishing event, fact",,surprise,NN
BALD,lacking hair,,bald,NN
DIRTY,covered or marked with dirt,,dirty,NN
BORING,not interesting,,boring,NN
PAY OFF,to pay a debt in full,,pay off,NN
ITSELF,used as the object of a verb or preposition to refer to a thing or animal previously mentioned as the subject of the clause,,itself,PRP
BESTOW,confer or present,,bestow,NN
YEAR,time taken by earth to make one revolution around sun,,year,NN
TRUE,in accordance with fact or reality,,true,JJ
I-PHONE,"Apple's mobile device that combines an iPod music and video player, mobile phone and Internet browser capability in a handheld unit with a touchscreen interface.",I-MISC,i-phone,NN
ADDICT,person who is addicted to substance,,addict,NN
RENT,tenant's regular payment to landlord for use of property or land,,rent,NN
BAFFLE,totally bewilder or perplex,,baffle,NN
BETWEEN,"at, into, or across space separating things",,between,IN
ALZHEIMER,Alzheimer's disease is the most common type of dementia,I-MISC,alzheimer,NN
POINT FRONT,direct someone's attention towards something by extending one's finger or something held in one's hand,,point front,NN
BROWN-HAIR,(of hair) dark brown,,brown-hair,NN
BEER,alcoholic drink made from yeast-fermented malt flavoured with hops,,beer,NN
CHILDREN,young humans being below the age of puberty or below the legal age of majority,,child,NNS
BASKETBALL,game in which goals are scored by throwing ball through hoop,,basketball,NN
DIDN'T KNOW,did not have that knowledge or information,,didn't know,NN
BREAKDOWN,mechanical failure,,breakdown,NN
NEW,not existing before,,new,JJ
SERVICES,assistance or advice given to customers,,service,NNS
DRESSING ROOM,room in which actors or sports players change clothes before and after their performance or game,,dressing room,NN
KNOWLEDGE,information and skills acquired through experience and education,,knowledge,NN
BENDING,"curve in road, river, etc.",,bending,NN
ASTRONOMY,branch of science which deals with celestial objects,,astronomy,NN
INFORMATION TECHNOLOGY,"the study or use of systems (especially computers and telecommunications) for storing, retrieving, and sending information",,information technology,NN
ETHNICITY,fact or state of belonging to social group that has common national or cultural tradition,,ethnicity,NN
NOT PERMITTED,that has been forbidden,,not permitted,VBN
BUTTER-UP,flatter or praise someone as a means of gaining their help or support,,butter-up,NN
ALLY,join resource with,,ally,RB
HAVE,"possess, own, or hold",,have,VB
INSTRUCTIONS,directions or order,,instruction,NNS
BUFFER,store data in buffer while it is being processed or transferred,,buffer,NN
ASBESTOS,highly heat-resistant fibrous silicate mineral that can be woven into fabrics,,asbestos,NN
VACUUM,clean with vacuum cleaner,,vacuum,NN
BROCCOLI,cultivated variety of cabbage eaten as vegetable,,broccoli,NN
HOT,having high temperature,,hot,JJ
SKY,region of atmosphere and outer space seen from earth,,sky,NN
MONSTER,large imaginary creature,,monster,NN
POWER,physical strength and force,,power,NN
STREET,"public road in city, town, or village",,street,NN
ABATE,become less intense or widespread,,abate,NN
TERRITORY,an area of land under the jurisdiction of a ruler or state,,territory,NN
NEAREST,nearby,,nearest,JJS
ESTIMATE,approximate calculation,,estimate,NN
SPREAD,"extent, width, or area covered by something",,spread,NN
BUDDHIST,an adherent of the religion based on the teachings of Buddha,I-MISC,buddhist,NN
WIPE,"clean or dry something by rubbing with cloth, piece of paper, or one's hand",,wipe,NN
ANNOUNCEMENT,formal public statement,,announcement,NN
ZEBRA,African wild horse with black-and-white stripes,I-MISC,zebra,NN
OVERHEAD BIN,a place for storing bags and luggage above head,,overhead bin,NN
MICHIGAN,"state in northern US, bordered on west, north, and east by Lakes Michigan",I-LOC,michigan,NNS
12,equivalent to product of three and four,,12,CD
ADVANCED,higher level,,advanced,JJ
LAND,earth's surface not covered by water,,land,NN
SORRY,feeling regret or penitence,,sorry,NN
ACCOMMODATE,"planned or changed to accommodate a particular situation, it is planned or changed so that it takes this situation into account.",,accommodate,NN
BOUND,restricted or confined to a specified place,,bound,NN
ADOLESECENT,adolescent boy or girl,,adolesecent,NN
TICKET,piece of paper or card that gives holder certain right,,ticket,NN
CLEAN,make clean,,clean,NN
ADMISSION,the process or fact of entering or being allowed to enter a place or organization,,admission,NN
ABORTION,deliberate termination of pregnancy,,abortion,NN
GO AHEAD,further forward in space,,go ahead,NN
GOVERNMENT,governing body of state,,government,NN
SORRY,feeling sad or distressed through sympathy with someone else's misfortune,,sorry,NN
WITHDRAW,remove or take away something from particular place or position,,withdraw,NN
GIVE,transfer possession of something to,,give,VB
SAY,"utter words so as to convey information, an opinion, a feeling or intention, or an instruction",,say,VB
HALLOWEEN,"night of 31 October, eve of All Saints' Day",,halloween,NN
CHURCH,building used for public Christian worship,,church,NN
AND,"used to connect words of same part of speech, clauses, or sentences",,and,CC
ARRESTED,seize and take into custody,,arrested,VBN
LIST 4/4,Fourth option in a four option list in ASL,,list 4/4,NN
DEPRESSED,in state of unhappiness or despondency,,depressed,JJ
LESSEN,make or become less,,lessen,NN
BREAK,separate into pieces,,break,NN
ALL ABOUT ME,To be completely preoccupied with oneself.,,all about me,NN
THOUGHTS,"idea or opinion produced by thinking, or occurring suddenly in mind",,thought,NNS
ATOM,smallest particle of element,,atom,NN
ABSOLUTELY,totally,,absolutely,RB
NOT,used to form negative with auxiliary verbs,,not,RB
APPENDAGE,projecting part of invertebrate or other living organism,,appendage,NN
REVIEW,formal assessment of something with intention of instituting change if necessary,,review,NN
TOO BIG,"overlarge big, large. above average in size or number or quantity or magnitude or extent.",,too big,NN
BLIND,unable to see,,blind,NN
SPREADSHEET,an electronic document in which data is arranged in the rows and columns of a grid and can be manipulated and used in calculations,,spreadsheet,NN
ACROSS,go or extend across,,across,IN
DETAILED,having many details or facts,,detailed,JJ
B,second letter of alphabet,,b,NN
BUFFER,store data in buffer while it is being processed or transferred,,buffer,NN
APPLY,make formal application,,apply,VB
COMPLEX,consisting of many different connected parts,,complex,JJ
LOVE,like or enjoy very much,,love,NN
ABOVE,at higher level than,,above,IN
FRUIT,fleshy seed-containing product of tree etc. eaten as food,,fruit,NN
BASIC,essential principles,,basic,JJ
ACCUSE,charge someone with offence or crime,,accuse,NN
WEATHER,"state of atmosphere as regards heat, cloudiness, etc.",,weather,NN
REASON,"cause, explanation, or justification for action or event",,reason,NN
SECRET,not known or seen or not meant to be known or seen by others,,secret,NN
SPEED,rate at which person or thing moves or operates,,speed,NN
ACROBATICS,spectacular gymnastic feats,,acrobatics,NNS
THIRTY,number equivalent to product of three and ten,,thirty,NN
SPECIALIST,person who concentrates primarily on particular subject or activity,,specialist,NN
MOTORCYCLE,two-wheeled vehicle that is powered by motor and has no pedals,,motorcycle,NN
AFFIDAVIT,"written statement confirmed by oath or affirmation, for use as evidence in court",,affidavit,NN
BROTHER-IN-LAW,the brother of one's husband or wife,,brother-in-law,NN
W,letter W,,w,NN
NEAR,nearby,,near,IN
INCLUSIVE,including all expected or required items,,inclusive,JJ
BENEFIT,advantage or profit gained,,benefit,NN
F,sixth letter of alphabet,,f,NN
COMEDIAN,entertainer on stage or television whose act is designed to make audience laugh,,comedian,NN
FISH,animal with gills and fins living in water,,fish,NN
DONUT,small fried cake of sweetened dough,,donut,NN
A BIT,somewhat,,a bit,NN
NEW YORK,state in north-eastern US,I-LOC,new york,NN
HEALTH,state of being free from illness or injury,,health,NN
biology,study of living organisms,,biology,NN
LESS,smaller amount,,le,RBR
CALCULATE,determine (the amount or number of something) mathematically,,calculate,NN
BACON,cured meat from back or sides of pig,,bacon,NN
DISHES,shallow flat-bottomed container,,dish,NNS
WAYS,"method, style, or manner of doing something",,way,NNS
SHE,female,,she,PRP
MATURE,become fully grown,,mature,NN
BEAUTIFUL LADY,"One who is absolutely stunning, radiant, attractive and eye catching",,beautiful lady,NN
POTENTIAL,having capacity to develop,,potential,JJ
TIKTOK,A social media app for sharing and uploading short videos.,I-MISC,tiktok,NN
DETAILS,describe fully,,detail,NNS
BAG,flexible container with opening at top,,bag,NN
WANT,should or need to do something,,want,NN
POPULAR,liked or admired by many,,popular,JJ
LEAVE,go away from,,leave,VB
GENEROUS,larger or more plentiful than is usual or necessary,,generous,JJ
ACCOUNTING,process or work of keeping financial accounts,,accounting,NN
ADOPTED,legally take (another's child) and bring it up as one's own,,adopted,VBN
DISTRACT,prevent from concentrating on something,,distract,NN
BINDER,bookbinder,I-PER,binder,NN
MASK,protective covering,,mask,NN
GOLF,play golf,,golf,NN
SECURITY,state of being free from danger or threat,,security,NN
KANSAS,state in central US,I-LOC,kansa,NN
DIRECT,going somewhere without stopping or changing direction,,direct,JJ
RANGE,area of variation between upper and lower limits on particular scale,,range,NN
HOUSE,building for human habitation,,house,NN
ANGEL,attendant or messenger of God,,angel,NN
POINT,place or position in area or on map etc.,,point,NN
OPERATE,control functioning of,,operate,NN
HAPPEN,take place,,happen,VB
LATER,goodbye for present,,later,RB
TIRED,in need of sleep or rest,,tired,VBN
FAIRFAX,"Fairfax, Virginia, formally the City of Fairfax, is an independent city in the Commonwealth of Virginia in the United States.",I-LOC,fairfax,NN
HOPE,desire for thing to happen,,hope,NN
INTERNATIONAL,existing or occurring between nations,,international,JJ
AGED,subjected to ageing,,aged,VBN
SUN,light or warmth received from sun,,sun,NN
PAPER,essay or dissertation,,paper,NN
GREY,coloured like ashes or lead,,grey,NN
STOP,come to end,,stop,NN
ENJOY,take delight or pleasure in,,enjoy,NN
BONES,piece of hard tissue making up skeleton,,bone,NNS
EACH,used to refer to every one of two or more people or things,,each,DT
DIFFERENT,not same as another or each other,,different,JJ
BIRD,vertebrate able to fly,,bird,NN
CLICK,make click,,click,NN
LAKE,expanse of water surrounded by land,,lake,NN
ARCHERY,shooting with bow and arrows,,archery,NN
ELECTRIC,of or producing electricity,,electric,JJ
TURN CAR AROUND,turning car around,,turn car around,NN
MILK,draw milk from cow,,milk,NN
PLANE TAKEOFF,instance of becoming airborne,,plane takeoff,NN
ANGRY,feeling or showing strong annoyance or hostility,,angry,JJ
INTELLIGENT,having intelligence,,intelligent,NN
MOM,one's mother,,mom,NN
VALENTINE'S DAY,Christian feast day honoring a martyr named Valentine,,valentine's day,NN
MANY,large number of,,many,JJ
AFRAID,feeling fear,,afraid,NN
AUTHORED,be the author of (a book or piece of writing).,,authored,VBN
NEXT WEEK,"The week that's coming up, starting from a Sunday.",,next week,NN
LAUNCH,start activity or enterprise,,launch,NN
TOP OF SCREEN,"highest or uppermost point, part",,top of screen,NN
SUMMARY,brief statement or account of main points of something,,summary,NN
LEFT,on west side when facing north,,left,NN
STRATEGY,plan of action designed to achieve long-term or overall aim,,strategy,NN
REVIEW,formal assessment of something with intention of instituting change if necessary,,review,NN
NEW,not existing before,,new,JJ
BURNED,"destroyed, damaged, or injured by heat or fire",,burned,VBN
SO,to such great extent,,so,RB
CLOCK,device for measuring time,,clock,NN
LIMIT,point beyond which something may not pass,,limit,NN
BRING,take someone or something to place,,bring,NN
MYSELF,used by speaker to refer to himself or herself as object of verb or preposition when he or she is subject of clause,,myself,PRP
BLOW DRYER,"an electrical device, usually held in the hand, that blows out hot air and is used for drying a person's hair",,blow dryer,NN
CONSUME,to use up a resource,,consume,NN
HAVE,"possess, own, or hold",,have,VB
BOND,relationship based on shared feelings or interests,,bond,NN
ANIMAL SHELTER,"place where stray, lost, abandoned or surrendered animals – mostly dogs and cats – are housed.",,animal shelter,NN
MAKE SURE,establish that something is definitely,,make sure,NN
ALLERGENS,An allergen is a substance that can cause an allergic reaction.,,allergen,NNS
EXPAND,become or make larger,,expand,NN
TISSUE,tissue paper,,tissue,NN
ME,used by a speaker to refer to himself or herself as the object of a verb or preposition,,me,PRP
1807,The year 1807,,1807,CD
THEIR,associated with people or things previously mentioned,,their,PRP$
HERE,indicating one is present,,here,RB
NICE,pleasant or attractive,,nice,JJ
DEAL,distribute cards,,deal,NN
BAKED POTATO,potato baked in its skin,,baked potato,NN
BODY LOTION,moisturizing lotion for body,,body lotion,NN
LITTLE BIT,small,,little bit,NN
BROWN SUGAR,unrefined or partially refined sugar,,brown sugar,NN
AFRICA,"second largest continent, southward projection of Old World land mass divided roughly in two by equa",I-LOC,africa,NN
PROBLEM,unwelcome or harmful matter,,problem,NN
CHECKS,"examine for accuracy, quality, etc.",,check,NNS
BUDGET,estimate of income and expenditure,,budget,NN
ACTION,process of doing something,,action,NN
LONG,of great duration,,long,RB
ACCELERATOR,something that brings about acceleration,,accelerator,NN
ATTIC,space or room inside or partly inside roof of building,,attic,JJ
BFF,person's best friend,,bff,NN
APPLICATION,formal request,,application,NN
ACQUITTED,free (someone) from a criminal charge by a verdict of not guilty,,acquitted,VBN
AGREEMENT,harmony or accordance in opinion or feeling,,agreement,NN
HOMEWORK,schoolwork that pupil is required to do at home,,homework,NN
PLANET,celestial body moving round star,,planet,NN
BACK TO THE DRAWING BOARD,"used to indicate that an idea, scheme, or proposal has been unsuccessful and that a new one must be devised.",,back to the drawing board,NN
RUDE,offensively impolite or bad-mannered,,rude,NN
ASK,speak to get answer or information,,ask,NN
GO AHEAD,further forward in space,,go ahead,NN
PICK,an act or the right of selecting something from a number of alternatives,,pick,NN
CASH,money in coins or notes,,cash,NN
NEPHEW,son of one's brother or sister,,nephew,NN
BUT,introducing phrase contrasting with one already mentioned,,but,CC
LIST,number of items written or printed consecutively,,list,NN
PHONE,telephone,,phone,NN
MOUTH,opening in human face,,mouth,NN
ACTOR,person whose profession is acting,,actor,NN
PULL OVER,(of vehicle) move to side of or off road,,pull over,NN
POINT,"a particular spot, place, or position in an area or on a map, object, or surface",,point,NN
MODERN,relating to present or recent times,,modern,JJ
