word,definition
INFORMATION TECHNOLOGY,"the study or use of systems (especially computers and telecommunications) for storing, retrieving, and sending information"
ETHNICITY,fact or state of belonging to social group that has common national or cultural tradition
NOT PERMITTED,that has been forbidden
BUTTER-UP,flatter or praise someone as a means of gaining their help or support
ALLY,join resource with
HAVE,"possess, own, or hold"
INSTRUCTIONS,directions or order
BUFFER,store data in buffer while it is being processed or transferred
ASBESTOS,highly heat-resistant fibrous silicate mineral that can be woven into fabrics
VACUUM,clean with vacuum cleaner
BROCCOLI,cultivated variety of cabbage eaten as vegetable
HOT,having high temperature
SKY,region of atmosphere and outer space seen from earth
MONSTER,large imaginary creature
POWER,physical strength and force
STREET,"public road in city, town, or village"
ABATE,become less intense or widespread
TERRITORY,an area of land under the jurisdiction of a ruler or state
NEAREST,nearby
ESTIMATE,approximate calculation
SPREAD,"extent, width, or area covered by something"
BUDDHIST,an adherent of the religion based on the teachings of Buddha
WIPE,"clean or dry something by rubbing with cloth, piece of paper, or one's hand"
ANNOUNCEMENT,formal public statement
ZEBRA,African wild horse with black-and-white stripes
OVERHEAD BIN,a place for storing bags and luggage above head
MICHIGAN,"state in northern US, bordered on west, north, and east by Lakes Michigan"
12,equivalent to product of three and four
ADVANCED,higher level
LAND,earth's surface not covered by water
SORRY,feeling regret or penitence
ACCOMMODATE,"planned or changed to accommodate a particular situation, it is planned or changed so that it takes this situation into account."
BOUND,restricted or confined to a specified place
ADOLESECENT,adolescent boy or girl
TICKET,piece of paper or card that gives holder certain right
CLEAN,make clean
ADMISSION,the process or fact of entering or being allowed to enter a place or organization
ABORTION,deliberate termination of pregnancy
GO AHEAD,further forward in space
GOVERNMENT,governing body of state
SORRY,feeling sad or distressed through sympathy with someone else's misfortune
WITHDRAW,remove or take away something from particular place or position
GIVE,transfer possession of something to
SAY,"utter words so as to convey information, an opinion, a feeling or intention, or an instruction"
HALLOWEEN,"night of 31 October, eve of All Saints' Day"
CHURCH,building used for public Christian worship
AND,"used to connect words of same part of speech, clauses, or sentences"
ARRESTED,seize and take into custody
LIST 4/4,Fourth option in a four option list in ASL
DEPRESSED,in state of unhappiness or despondency
LESSEN,make or become less
BREAK,separate into pieces
ALL ABOUT ME,To be completely preoccupied with oneself.
THOUGHTS,"idea or opinion produced by thinking, or occurring suddenly in mind"
ATOM,smallest particle of element
ABSOLUTELY,totally
NOT,used to form negative with auxiliary verbs
APPENDAGE,projecting part of invertebrate or other living organism
REVIEW,formal assessment of something with intention of instituting change if necessary
TOO BIG,"overlarge big, large. above average in size or number or quantity or magnitude or extent."
BLIND,unable to see
SPREADSHEET,an electronic document in which data is arranged in the rows and columns of a grid and can be manipulated and used in calculations
ACROSS,go or extend across
DETAILED,having many details or facts
B,second letter of alphabet
BUFFER,store data in buffer while it is being processed or transferred
APPLY,make formal application
COMPLEX,consisting of many different connected parts
LOVE,like or enjoy very much
ABOVE,at higher level than
FRUIT,fleshy seed-containing product of tree etc. eaten as food
BASIC,essential principles
ACCUSE,charge someone with offence or crime
WEATHER,"state of atmosphere as regards heat, cloudiness, etc."
REASON,"cause, explanation, or justification for action or event"
SECRET,not known or seen or not meant to be known or seen by others
SPEED,rate at which person or thing moves or operates
ACROBATICS,spectacular gymnastic feats
THIRTY,number equivalent to product of three and ten
SPECIALIST,person who concentrates primarily on particular subject or activity
MOTORCYCLE,two-wheeled vehicle that is powered by motor and has no pedals
AFFIDAVIT,"written statement confirmed by oath or affirmation, for use as evidence in court"
BROTHER-IN-LAW,the brother of one's husband or wife
W,letter W
NEAR,nearby
INCLUSIVE,including all expected or required items
BENEFIT,advantage or profit gained
F,sixth letter of alphabet
COMEDIAN,entertainer on stage or television whose act is designed to make audience laugh
FISH,animal with gills and fins living in water
DONUT,small fried cake of sweetened dough
A BIT,somewhat
NEW YORK,state in north-eastern US
HEALTH,state of being free from illness or injury
biology,study of living organisms
LESS,smaller amount
CALCULATE,determine (the amount or number of something) mathematically
BACON,cured meat from back or sides of pig
DISHES,shallow flat-bottomed container
WAYS,"method, style, or manner of doing something"
SHE,female
MATURE,become fully grown
BEAUTIFUL LADY,"One who is absolutely stunning, radiant, attractive and eye catching"
POTENTIAL,having capacity to develop
TIKTOK,A social media app for sharing and uploading short videos.
DETAILS,describe fully
BAG,flexible container with opening at top
WANT,should or need to do something
POPULAR,liked or admired by many
LEAVE,go away from
GENEROUS,larger or more plentiful than is usual or necessary
ACCOUNTING,process or work of keeping financial accounts
ADOPTED,legally take (another's child) and bring it up as one's own
DISTRACT,prevent from concentrating on something
BINDER,bookbinder
MASK,protective covering
GOLF,play golf
SECURITY,state of being free from danger or threat
KANSAS,state in central US
DIRECT,going somewhere without stopping or changing direction
RANGE,area of variation between upper and lower limits on particular scale
HOUSE,building for human habitation
ANGEL,attendant or messenger of God
POINT,place or position in area or on map etc.
OPERATE,control functioning of
HAPPEN,take place
LATER,goodbye for present
TIRED,in need of sleep or rest
FAIRFAX,"Fairfax, Virginia, formally the City of Fairfax, is an independent city in the Commonwealth of Virginia in the United States."
HOPE,desire for thing to happen
INTERNATIONAL,existing or occurring between nations
AGED,subjected to ageing
SUN,light or warmth received from sun
PAPER,essay or dissertation
GREY,coloured like ashes or lead
STOP,come to end
ENJOY,take delight or pleasure in
BONES,piece of hard tissue making up skeleton
EACH,used to refer to every one of two or more people or things
DIFFERENT,not same as another or each other
BIRD,vertebrate able to fly
CLICK,make click
LAKE,expanse of water surrounded by land
ARCHERY,shooting with bow and arrows
ELECTRIC,of or producing electricity
TURN CAR AROUND,turning car around
MILK,draw milk from cow
PLANE TAKEOFF,instance of becoming airborne
ANGRY,feeling or showing strong annoyance or hostility
INTELLIGENT,having intelligence
MOM,one's mother
VALENTINE'S DAY,Christian feast day honoring a martyr named Valentine
MANY,large number of
AFRAID,feeling fear
AUTHORED,be the author of (a book or piece of writing).
NEXT WEEK,"The week that's coming up, starting from a Sunday."
LAUNCH,start activity or enterprise
TOP OF SCREEN,"highest or uppermost point, part"
SUMMARY,brief statement or account of main points of something
LEFT,on west side when facing north
STRATEGY,plan of action designed to achieve long-term or overall aim
REVIEW,formal assessment of something with intention of instituting change if necessary
NEW,not existing before
BURNED,"destroyed, damaged, or injured by heat or fire"
SO,to such great extent
CLOCK,device for measuring time
LIMIT,point beyond which something may not pass
BRING,take someone or something to place
MYSELF,used by speaker to refer to himself or herself as object of verb or preposition when he or she is subject of clause
BLOW DRYER,"an electrical device, usually held in the hand, that blows out hot air and is used for drying a person's hair"
CONSUME,to use up a resource
HAVE,"possess, own, or hold"
BOND,relationship based on shared feelings or interests
ANIMAL SHELTER,"place where stray, lost, abandoned or surrendered animals – mostly dogs and cats – are housed."
MAKE SURE,establish that something is definitely
ALLERGENS,An allergen is a substance that can cause an allergic reaction.
EXPAND,become or make larger
TISSUE,tissue paper
ME,used by a speaker to refer to himself or herself as the object of a verb or preposition
1807,The year 1807
THEIR,associated with people or things previously mentioned
HERE,indicating one is present
NICE,pleasant or attractive
DEAL,distribute cards
BAKED POTATO,potato baked in its skin
BODY LOTION,moisturizing lotion for body
LITTLE BIT,small
BROWN SUGAR,unrefined or partially refined sugar
AFRICA,"second largest continent, southward projection of Old World land mass divided roughly in two by equa"
PROBLEM,unwelcome or harmful matter
CHECKS,"examine for accuracy, quality, etc."
BUDGET,estimate of income and expenditure
ACTION,process of doing something
LONG,of great duration
ACCELERATOR,something that brings about acceleration
ATTIC,space or room inside or partly inside roof of building
BFF,person's best friend
APPLICATION,formal request
ACQUITTED,free (someone) from a criminal charge by a verdict of not guilty
AGREEMENT,harmony or accordance in opinion or feeling
HOMEWORK,schoolwork that pupil is required to do at home
PLANET,celestial body moving round star
BACK TO THE DRAWING BOARD,"used to indicate that an idea, scheme, or proposal has been unsuccessful and that a new one must be devised."
RUDE,offensively impolite or bad-mannered
ASK,speak to get answer or information
GO AHEAD,further forward in space
PICK,an act or the right of selecting something from a number of alternatives
CASH,money in coins or notes
NEPHEW,son of one's brother or sister
BUT,introducing phrase contrasting with one already mentioned
LIST,number of items written or printed consecutively
PHONE,telephone
MOUTH,opening in human face
ACTOR,person whose profession is acting
PULL OVER,(of vehicle) move to side of or off road
POINT,"a particular spot, place, or position in an area or on a map, object, or surface"
MODERN,relating to present or recent times
BISCUIT,"small unleavened, crisp cake"
UNDERSTAND,perceive intended meaning of
HE,man or boy previously mentioned or easily identified
EGGS,object laid by female bird
BOAST,talk with excessive pride and self-satisfaction about one's achievements or abilities
MINUTE,a period of time equal to sixty seconds or a sixtieth of an hour
BEHIND,at or to far side of
USE,"take, hold, or deploy something as means of accomplishing or achieving something"
ANNULMENT,act of annulling something
LAST,coming after all others
WEAK,lacking power to perform physically demanding tasks
HUNGRY,feeling or showing hunger
MISCHIEVOUS,causing or intended to cause harm or trouble
FARMER,person who owns or manages farm
COOKIE,biscuit
FEBRUARY,"second month of year, in northern hemisphere"
YOU,used to refer to person or people that speaker is addressing
DOT,small round mark
GOVERNMENT,governing body of state
COURSE,series of lectures
SERVICES,action of helping or doing work for someone
GOSSIP,engage in gossip
JUDGE,officer who decides cases in law court
HAT,shaped covering for head
SOON,in or after short time
DOWN,towards or in lower position
CONNECT,bring together to form link
FOURTH OF JULY,a national holiday in the US when people celebrate the anniversary of the Declaration of Independence 
BAKER,person whose trade is making and selling bread and cakes
FOR FOR,having as reason or cause
BAR,"counter in public house, restaurant, or cafe"
PRACTITIONER,"person actively engaged in art, discipline, or profession"
REVIEW,formal assessment of something with intention of instituting change if necessary
AWS,Amazon Web Service
ENTRY,act of entering
BETWEEN,in period separating events or times
PLACE,position or point
BILLION,thousand million
INDIAN,native or national of India
BAWLED OUT,formal expression of disapproval
BREAKFAST,"meal eaten in morning, first of day"
you_know,intro to an important statement
STUBBORN,having or showing dogged determination not to change one's attitude or position on something
BAHAMAS,country consisting of archipelago off SE coast of Florida
SUM,total amount resulting from addition of two or more numbers or items
LIBRARY,building or room containing books etc.
BANKRUPT,declared as unable to pay debts
WATCH,small timepiece worn on strap on one's wrist
ACCUSTOMED,customary
GAME,activity done for amusement
AMISH,members of strict Mennonite sect founded by Swiss preacher Jakob Amman or Amen
HUMAN,human being
RED,"of colour at end of spectrum next to orange and opposite violet, as of blood or rubies"
PREDICT,say or estimate that specified thing will happen in future or will be consequence of something
RECENT,"having happened, begun, or been done not long ago"
EAGLE,large bird of prey
AMPUTEE,person who has had limb amputated
ELASTIC,flexible and adaptable
BREAKING EYE CONTACT,state in which two people are aware of looking directly into one another's eyes and then away
MEMORIAL DAY,"a holiday in the US, usually the last Monday in May, in honour of members of the armed forces who have died in war"
ACQUIRE,buy or obtain asset or object for oneself
HIS,relating to male person or animal
RELATING,make or show a connection between
BASEMENT,floor of building which is partly or entirely below ground level
TRAIN,a series of connected railway carriages or wagons moved by a locomotive or by integral motors
SUMMER,"warmest season of year, in northern hemisphere from June to August and in southern hemisphere"
ALL YEAR,period of 365 days starting from first of January
SKATEBOARD,ride on skateboard
BROCHURE,small book or magazine containing pictures and information
QUESTION,sentence worded or expressed so as to elicit information
TIE,achieve the same score or ranking as another competitor or team
UNITY,the state of being united or joined as a whole
SIDEBURN,strip of hair grown by man down each side of face in front of his ears
AGENCY,provider of service
CAN,have ability
INDIAN,relating to India
RESPOND,do something as reaction to person or thing
BRUSH,"an implement with a handle and a block of bristles, hair, or wire, used especially for cleaning, applying a liquid or powder to a surface, or arranging the hair"
OUTER,external
BRAINSTORM,a spontaneous group discussion to produce ideas and ways of solving problems
EXCESS,amount that is more than necessary
DEPLOY,bring into effective action
CAKE,sweet food
MEAT,flesh of animal as food
DRIVING,control and operation of motor vehicle
ANYTHING,"used to refer to thing, no matter what"
MODULE,standardized part used in construction of structure
AREA,region
SKY,region of atmosphere and outer space seen from earth
TREE,woody perennial plant having trunk growing to considerable height
ARCHITECT,design and configure
THROUGH,moving in one side and out of other side of
BUMO,a protuberance on a level surface
NOT ENOUGH,lacking in what is necessary or required
ASSAULT,attack
ANATOMY,study of the body
TABLE UP,Lifting tabletop up
PAST,gone by in time
PLAN,intention or decision
SIGN,notice on public display that gives information or instructions in written or symbolic form
CONSEQUENCE,result or effect
FOR,in support of or in favour of
WHERE,in or to what place or position
COMPLETE,having all necessary parts
NOT YET,"not at the moment, has not happened"
WEB,network of fine threads constructed by spider from fluid secreted by its spinnerets
DOZEN,group or set of twelve
CULTURE,"the ideas, customs, and social behaviour of a particular people or society"
MORE THAN,extremely
SKILLED,"having or showing knowledge, ability, or training to perform certain activity or task well"
POLKA DOT,one of several round dots repeated to form regular pattern on fabric
BOARD ROOM,"a room where a group of people conducts meetings, typically those elected by shareholders to manage a company."
TEXAS,"state in southern US, on border with Mexico, with coastline on Gulf of Mexico"
APE,large primate
WHEN,at what time
ARAB,"member of Semitic people, originally from Arabian peninsula and neighbouring territories"
IMPOSSIBLE,"not able to occur, exist, or be done"
HALF BROTHER,a brother with whom one has only one parent in common
TIME WHAT?,What is the time?
HAZARD,danger or risk
THEM,used as object of verb or preposition to refer to two or more people
PANAMA,country in Central America
GUARANTEE,"a formal assurance (typically in writing) that certain conditions will be fulfilled, especially that a product will be repaired or replaced if not of a specified quality"
LIVE,remain alive
PULL OUT,act of pulling
LIZARD,reptile that has long body and tail and four legs
TOP,"highest or uppermost point, part"
TAKE CARE,to be responsible for or to deal with a situation or task or informally say goodbye
WISCONSIN,"state in northern US, bordering on Lakes Superior"
HOME,place where one lives permanently
IMMEDIATELY,at once
REMEMBER,have in or be able to bring to one's mind awareness of
ACCORDING,as stated by
SHADE,screen from direct light
BASE,thing that something depends on
REVIEW,formal assessment of something with intention of instituting change if necessary
TRAVEL TO,make journey
DO YOU MIND,asking for permission to do something or about to make a request
REMAINING,"still existing, present, or in use"
ANYPLACE,in or to any place
POINT,direct someone's attention towards something by extending one's finger or something held in one's hand
GOAL,aim or desired result
AWARE,having knowledge or perception of situation or fact
WHERE,in or to what place or position
DULLES DCA AIRPORT,An airport in Washington
CLOSED-MINDED,having or showing rigid opinions or a narrow outlook
JUSTIFY,to have a valid reason to do something
BEAM,radiant smile
POWERFUL,having control and influence
WATER,"colourless, transparent, odourless liquid"
PASSAGE,a short extract from a book or other printed material
STOVE,apparatus for cooking or heating that operates by burning fuel or using electricity
SAD,feeling or showing sorrow
BLAST,destructive wave from explosion
BELOVED,dearly loved
DIRECT,extending or moving from one place to another by the shortest way without changing direction or stopping
AREA,extent or measurement
PUT MASK ON CHILD,protective covering
SOLID,firm and stable in shape
NURSE,person trained to care for sick
BACKUP,copy of data
EXPLORE,inquire into subject in detail
COLD,low temperature
SUMMARIZE,give brief statement of main points of
BRUNCH,a late morning meal eaten instead of breakfast and lunch
ALCOHOLISM,addiction to consumption of alcoholic drink
BLISS,perfect happiness
BED,piece of furniture for sleep or rest
BORED,feeling weary and impatient
SAILBOAT,a boat propelled by sails; a sailing boat
BRITTLE,hard but easily broken
PANCAKE,"thin, flat cake of batter"
TOP,"highest or uppermost point, part"
MICROWAVE,"electromagnetic wave with wavelength in range 0.001-0.3 m, shorter than that of normal radio wave but longer than those of infrared radiation"
ANSWER,thing said in response to another
RULE,exercise ultimate power or authority over
FIFTH,constituting number five in sequence
A LOT,to a considerable degree or extent
PRESENTATION,"a speech or talk in which a new product, idea, or piece of work is shown and explained to an audience"
UNTIL,up to
MISSING,not able to be found
ADAPT,make something suitable for new use or purpose
GOOGLE,search for information about person or thing on internet using Google
SIT,be in position in which weight is supported by buttocks
APPOINT,assign a role
ALLOW,let someone have or do
ELECTION,formal choice by vote of person for political office
WYOMING,state in west central US
RENT,pay someone for use of
FLOAT,rest or move on surface or liquid
MINIMAL,"of a minimum amount, quantity, or degree; negligible"
INFECTION,process of infecting or state of being infected
PHARMACY,shop or hospital dispensary where medicinal drugs are prepared or sold
H STREET,"Neighborhood in Washington, D.C., United States"
STEPMOTHER,woman who is wife or partner of one's parent after divorce or death
EXPENSIVE,costing lot of money
LARGEST,"of considerable size, extent, etc."
SKI,travel over snow on skis; take part in the sport or recreation of skiing
UNDERWEAR,clothing worn under other clothes
TAKE ADVANTAGE OF OPPORTUNITY,lay hold of something with one's hands
COMPUTE,reckon or calculate
GATE,hinged barrier used to close opening
SEPARATE,cause to move or be apart
LINKS,relationship between things
EXACT,precise
EXPAND LIST,become or make a list larger
